Drill Listing
=============
Drill: .008  Tool: 1  Feed: 0  Speed: 0
X 1177323  Y 939724
X 1177322  Y 930278
X 1174178  Y 942872
X 1174178  Y 936572
X 1174178  Y 939722
X 1174173  Y 920826
X 1174173  Y 927125
X 1174173  Y 923976
X 1174172  Y 930278
X 1171022  Y 920828
X 1167874  Y 930275
X 1167874  Y 920826
X 1167874  Y 927125
X 1164724  Y 930275
X 1164724  Y 939724
X 1164724  Y 942874
X 1164724  Y 920826
X 1164724  Y 927125
X 1164724  Y 936575
X 1161575  Y 930275
X 1161575  Y 927125
X 1161575  Y 920826
X 1161575  Y 933425
X 1158425  Y 933425
X 1158425  Y 942874
X 1158425  Y 939724
X 1155275  Y 942874
X 1155275  Y 939724
X 1155275  Y 927125
X 1155275  Y 920826
X 1155275  Y 930275
X 1155253  Y 933400
X 1152125  Y 939724
X 1152125  Y 930275
X 1152125  Y 920826
X 1152125  Y 942874
X 1152125  Y 933425
X 1152125  Y 927125
X 1145826  Y 923976
X 1145826  Y 930275
X 1145826  Y 942874
X 1145826  Y 933425
X 1145826  Y 927125
X 1145826  Y 920826
X 1142677  Y 930275
X 1142676  Y 920826
X 1142676  Y 933425
X 1142676  Y 923976
X 1142676  Y 939724
X 1142676  Y 942874
X 1142676  Y 927125
X 1139527  Y 933425
X 1139527  Y 920826
X 1139527  Y 939724
X 1139527  Y 923976
X 1139527  Y 927125
X 1139527  Y 930275
X 1136377  Y 930275
X 1136377  Y 920826
X 1136377  Y 923976
X 1136377  Y 927125
X 1136377  Y 933425
X 1136377  Y 942874
X 1136377  Y 939724
X 1133228  Y 933425
X 1133228  Y 920826
X 1133228  Y 930275
X 1133228  Y 939724
X 1133228  Y 942874
X 1133228  Y 923976
X 1133228  Y 927125
X 1130078  Y 942874
X 1130078  Y 930272
X 1130078  Y 939724
X 1130078  Y 927125
X 1130078  Y 920826
X 1130078  Y 933425
X 1130078  Y 923976
X 1127803  Y 933448
X 1127715  Y 936573
X 1126948  Y 922602
X 1125746  Y 943661
X 1123151  Y 939497
X 1116051  Y 927397
X 1115751  Y 934297
X 1115594  Y 941715
X 1115251  Y 931597
X 1113051  Y 929697
X 1112303  Y 921248
X 1111751  Y 925197
X 1098351  Y 931997
X 1095952  Y 930452
X 1089452  Y 928452
X 1051100  Y 941400
X 1041023  Y 942149
X 1035800  Y 939400
X 1031900  Y 938800
X 1031400  Y 941300
X 1027941  Y 940519
X 1020100  Y 940200
X 1016300  Y 940000
X 1010223  Y 940949
X 1005227  Y 944019
X 996223  Y 942149
X 985423  Y 942149
X 980223  Y 959349
X 980223  Y 948949
X 986727  Y 959019
X 991727  Y 952019
X 991823  Y 966149
X 992623  Y 954519
X 995023  Y 957349
X 995227  Y 964019
X 996223  Y 946149
X 1005023  Y 962949
X 1005227  Y 956019
X 1009423  Y 948949
X 1017023  Y 967749
X 1017023  Y 962949
X 1017978  Y 957889
X 1027227  Y 958019
X 1027227  Y 968019
X 1027423  Y 962949
X 1037423  Y 952949
X 1039727  Y 957519
X 1040727  Y 945519
X 1041023  Y 950149
X 1049900  Y 955900
X 1050227  Y 966019
X 1051100  Y 946400
X 1051227  Y 951519
X 1053423  Y 964019
X 1060623  Y 959349
X 1090606  Y 959439
X 1090653  Y 964251
X 1091952  Y 953452
X 1093952  Y 962452
X 1096452  Y 961452
X 1098452  Y 956452
X 1098452  Y 958952
X 1100452  Y 962952
X 1103952  Y 963452
X 1107452  Y 960952
X 1109452  Y 958952
X 1110500  Y 950100
X 1111102  Y 955709
X 1111303  Y 962748
X 1112253  Y 953800
X 1112303  Y 957748
X 1112452  Y 948386
X 1116053  Y 962748
X 1116103  Y 968400
X 1118265  Y 957836
X 1120452  Y 963346
X 1120751  Y 966597
X 1122303  Y 955748
X 1123800  Y 966500
X 1123803  Y 961748
X 1130078  Y 961771
X 1130078  Y 964921
X 1130078  Y 952323
X 1130078  Y 958622
X 1130078  Y 955472
X 1130078  Y 949173
X 1130078  Y 946023
X 1133228  Y 952323
X 1133228  Y 955472
X 1133228  Y 961771
X 1133228  Y 958622
X 1133228  Y 946023
X 1133228  Y 964921
X 1133228  Y 949172
X 1136377  Y 952323
X 1136377  Y 949173
X 1136377  Y 955472
X 1136377  Y 946023
