Drill Listing
=============
Drill: .008  Tool: 1  Feed: 0  Speed: 0
X 1195003  Y 1085285
X 1210751  Y 1085285
X 1207601  Y 1088434
X 1198152  Y 1088434
X 1201302  Y 1088434
X 1195003  Y 1088434
X 1210751  Y 1088434
X 1204452  Y 1088437
X 1189727  Y 1088714
X 1199500  Y 1110500
X 1211500  Y 1114000
X 1188227  Y 1114500
X 1191727  Y 1116500
X 1204500  Y 1117000
X 1200000  Y 1121000
X 1229648  Y 1088434
X 1223349  Y 1088434
X 1220199  Y 1088434
X 1213900  Y 1088434
X 1232798  Y 1088434
X 1235947  Y 1088434
X 1223349  Y 1085285
X 1220199  Y 1085285
X 1213900  Y 1085285
X 1229648  Y 1085285
X 1226499  Y 1085285
X 1232798  Y 1085285
X 1235947  Y 1085285
X 1220199  Y 1082135
X 1213900  Y 1082135
X 1232798  Y 1082135
X 1229648  Y 1082135
X 1235947  Y 1082135
X 1220199  Y 1078986
X 1226499  Y 1078986
X 1213900  Y 1078986
X 1213900  Y 1075836
X 1229648  Y 1075836
X 1226499  Y 1075836
X 1223349  Y 1075836
X 1220199  Y 1075836
X 1232798  Y 1075836
X 1226499  Y 1072686
X 1229648  Y 1072686
X 1232798  Y 1072686
X 1235947  Y 1072686
X 1226499  Y 1069537
X 1229648  Y 1069537
X 1232798  Y 1069537
X 1235947  Y 1069537
X 1229648  Y 1063238
X 1226499  Y 1063238
X 1235947  Y 1063238
X 1232798  Y 1063238
X 1229648  Y 1060088
X 1232798  Y 1060088
X 1226499  Y 1060088
X 1235947  Y 1060088
X 1232798  Y 1056938
X 1213900  Y 1056938
X 1220199  Y 1056938
X 1229648  Y 1056938
X 1223349  Y 1056938
X 1226499  Y 1056938
X 1235947  Y 1056938
X 1220199  Y 1053789
X 1232798  Y 1053789
X 1235947  Y 1053789
X 1213900  Y 1053789
X 1226499  Y 1053789
X 1229648  Y 1053789
X 1223349  Y 1053789
X 1213900  Y 1050639
X 1220199  Y 1050639
X 1226499  Y 1050639
X 1223349  Y 1050639
X 1229648  Y 1050639
X 1232798  Y 1050639
X 1220199  Y 1047489
X 1235947  Y 1047489
X 1223349  Y 1047489
X 1213900  Y 1047489
X 1229648  Y 1047489
X 1226499  Y 1047489
X 1232798  Y 1047489
X 1229648  Y 1044340
X 1223349  Y 1044340
X 1232798  Y 1044340
X 1220199  Y 1044340
X 1226499  Y 1044340
X 1213900  Y 1044340
X 1235947  Y 1044340
X 1220573  Y 1037213
X 1224377  Y 1023915
X 1220377  Y 1022915
X 1226227  Y 1022359
X 1217377  Y 1019415
X 1223876  Y 1019060
X 1231073  Y 1013713
X 1228377  Y 1012415
X 1218877  Y 1012415
X 1221476  Y 1012312
X 1213677  Y 1012312
X 1216077  Y 1012312
X 1236227  Y 1012214
X 1233799  Y 1012189
X 1226276  Y 1011460
X 1223576  Y 1011360
X 1243799  Y 1012189
X 1248799  Y 1012189
X 1258799  Y 1012189
X 1246227  Y 1012214
X 1241377  Y 1012415
X 1238877  Y 1012415
X 1251376  Y 1014060
X 1260876  Y 1017560
X 1243877  Y 1017915
X 1246727  Y 1019859
X 1256727  Y 1023060
X 1240877  Y 1025060
X 1256376  Y 1025560
X 1243877  Y 1027060
X 1238877  Y 1028915
X 1255376  Y 1035560
X 1244877  Y 1038000
X 1254000  Y 1039060
X 1239097  Y 1044340
X 1239097  Y 1047489
X 1239097  Y 1050639
X 1239097  Y 1053789
X 1256376  Y 1055560
X 1253376  Y 1056060
X 1239097  Y 1056938
X 1239097  Y 1060088
X 1242477  Y 1060312
X 1259727  Y 1061214
X 1239097  Y 1063238
X 1246476  Y 1064760
X 1259376  Y 1067060
X 1239097  Y 1069537
X 1256227  Y 1071714
X 1239097  Y 1072686
X 1247227  Y 1073714
X 1253227  Y 1073714
X 1239097  Y 1075836
X 1239097  Y 1078986
X 1239097  Y 1082135
X 1260227  Y 1082714
X 1251727  Y 1085163
X 1239097  Y 1085285
X 1239097  Y 1088434
X 1246727  Y 1089714
X 1244500  Y 1099000
X 1262727  Y 1100163
X 1254000  Y 1113000
X 1278000  Y 1118500
X 1274227  Y 1104714
X 1281727  Y 1104714
X 1281727  Y 1089214
X 1266727  Y 1089214
X 1267727  Y 1068714
X 1279227  Y 1067663
X 1273227  Y 1065214
X 1264876  Y 1065214
X 1281227  Y 1065214
X 1270227  Y 1047714
X 1286000  Y 1047500
X 1266227  Y 1045214
X 1276227  Y 1045214
X 1273727  Y 1043214
X 1268727  Y 1042714
X 1284876  Y 1039500
X 1286500  Y 1023500
X 1278077  Y 1022860
X 1263077  Y 1022860
X 1273077  Y 1022860
X 1267877  Y 1020415
X 1281000  Y 1020000
X 1266227  Y 1012214
X 1271227  Y 1012214
X 1276227  Y 1012214
X 1286227  Y 1012214
X 1263799  Y 1012189
X 1268799  Y 1012189
X 1283799  Y 1012188
X 1273799  Y 1012188
X 1288799  Y 1012188
X 1293799  Y 1012188
X 1298799  Y 1012188
X 1308799  Y 1012188
X 1311227  Y 1012214
X 1291227  Y 1012214
X 1296227  Y 1012214
X 1305500  Y 1020500
X 1303000  Y 1023000
X 1296000  Y 1023500
X 1289573  Y 1023713
X 1303000  Y 1039500
X 1293727  Y 1042214
X 1305500  Y 1044500
X 1297227  Y 1046214
X 1291727  Y 1046214
X 1294727  Y 1046214
X 1289227  Y 1046214
X 1305876  Y 1048560
X 1303376  Y 1048560
X 1289227  Y 1065214
X 1290727  Y 1072163
X 1290727  Y 1079663
X 1293073  Y 1084500
X 1296727  Y 1089714
X 1304227  Y 1104714
X 1289227  Y 1104714
X 1296727  Y 1104714
X 1319500  Y 1071500
X 1320877  Y 1067912
X 1335500  Y 1063000
X 1322577  Y 1036859
X 1327227  Y 1029214
X 1328227  Y 1021714
X 1329000  Y 1018500
X 1318727  Y 1012214
X 1316227  Y 1012214
X 1313799  Y 1012188
X 1321727  Y 1011714

Drill: .012  Tool: 2  Feed: 95  Speed: 300
X 1315985  Y 1057094
X 1321890  Y 1057094
X 1318938  Y 1059062
X 1315985  Y 1061031
X 1321890  Y 1061031

Drill: .013  Tool: 3  Feed: 95  Speed: 300
X 1035073  Y 1013713
X 1036777  Y 1028012
X 1031577  Y 1032859
X 1020577  Y 1036859
X 1018073  Y 1050213
X 1037077  Y 1052860
X 1024077  Y 1052860
X 1029077  Y 1053360
X 1034177  Y 1055912
X 1022677  Y 1063012
X 1028077  Y 1083360
X 1023077  Y 1093812
X 1033077  Y 1093860
X 1023073  Y 1102713
X 1013000  Y 1111000
X 1013000  Y 1117500
X 1044573  Y 1108713
X 1048500  Y 1108500
X 1038227  Y 1102714
X 1038073  Y 1093713
X 1044573  Y 1090213
X 1048573  Y 1090213
X 1046577  Y 1082359
X 1045077  Y 1069360
X 1056000  Y 1060500
X 1056000  Y 1054000
X 1039077  Y 1041187
X 1047577  Y 1036359
X 1043577  Y 1024859
X 1065500  Y 1028500
X 1064877  Y 1056312
X 1064477  Y 1086312
X 1064477  Y 1096312
X 1069500  Y 1113000
X 1100000  Y 1104500
X 1105073  Y 1082213
X 1100727  Y 1077663
X 1096500  Y 1066500
X 1103077  Y 1061359
X 1097227  Y 1029214
X 1112876  Y 1027060
X 1110227  Y 1011714
X 1100227  Y 1011714
X 1134073  Y 1025213
X 1130727  Y 1027214
X 1115573  Y 1030713
X 1130800  Y 1033200
X 1115200  Y 1046000
X 1130227  Y 1061214
X 1130227  Y 1067714
X 1131077  Y 1081360
X 1115376  Y 1085560
X 1115500  Y 1098300
X 1175727  Y 1120859
X 1183227  Y 1120859
X 1179227  Y 1120859
X 1169300  Y 1119500
X 1169300  Y 1103700
X 1178376  Y 1094560
X 1182500  Y 1068000
X 1178000  Y 1040500
X 1162000  Y 1040500
X 1184376  Y 1040060
X 1182000  Y 1033500
X 1162000  Y 1033500
X 1145073  Y 1029213
X 1165277  Y 1028312
X 1171500  Y 1028000
X 1182000  Y 1026000
X 1156477  Y 1024312
X 1165277  Y 1020712
X 1203073  Y 1013213
X 1206573  Y 1014713
X 1204727  Y 1029214
X 1209227  Y 1029214
X 1189727  Y 1039859
X 1191727  Y 1056714
X 1193573  Y 1075834
X 1208727  Y 1098214
X 1195876  Y 1110060
X 1219927  Y 1116614
X 1229727  Y 1116214
X 1215376  Y 1105560
X 1235227  Y 1104214
X 1227727  Y 1098714
X 1220376  Y 1098560
X 1216727  Y 1063714
X 1217227  Y 1029214
X 1213727  Y 1029214
