Field=#~Integer~#~50|Field=Designator~String~Designator~100|Field=MountType~String~MountType~100|Field=PackageReference~String~PackageReference~100|Field=Center-X(Mil)~String~Center-X(Mil)~100|Field=Center-X(mm)~String~Center-X(mm)~100|Field=Center-Y(Mil)~String~Center-Y(Mil)~100|Field=Center-Y(mm)~String~Center-Y(mm)~100|Field=Layer~String~Layer~100|Field=Pad-X(Mil)~String~Pad-X(Mil)~100|Field=Pad-X(mm)~String~Pad-X(mm)~100|Field=Pad-Y(Mil)~String~Pad-Y(Mil)~100|Field=Pad-Y(mm)~String~Pad-Y(mm)~100|Field=Ref-X(Mil)~String~Ref-X(Mil)~100|Field=Ref-X(mm)~String~Ref-X(mm)~100|Field=Ref-Y(Mil)~String~Ref-Y(Mil)~100|Field=Ref-Y(mm)~String~Ref-Y(mm)~100|Field=Rotation~String~Rotation~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~MCU009A.PrjPcb|ReportField=ProjectFullPath~C:\Users\a0271704\Desktop\MCU009A (1-16-2017 2-56-52 PM)\MCU009A.PrjPcb|ReportField=Title~Pick and Place For Project [MCU009A.PrjPcb] (PCB Document : MCU009A_PCB.PcbDoc)|ReportField=TotalQuantity~216|ReportField=ReportTime~5:49:56 PM|ReportField=ReportDate~1/16/2017|ReportField=ReportDateTime~1/16/2017 5:49:56 PM|ReportField=OutputName~Pick and Place|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=CopyrightYear~2016|ReportField=PCB_Layout~QC Graphics|ReportField=PCB_Rev~A|ReportField=PRJ_Customer~Public Release|ReportField=PRJ_Engineer~Brett Larimore|ReportField=PRJ_Number~MCU009|ReportField=PRJ_Title~F280049M controlCARD|ReportField=SCH_Rev~A|ReportField=TechSupport~http://www.ti.com/support|ReportField=TID~N/A|ReportField=Address1~Not shown in title block|ReportField=Address2~Not shown in title block|ReportField=Address3~Not shown in title block|ReportField=Address4~Not shown in title block|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~Not shown in title block|ReportField=Author~Not shown in title block|ReportField=CheckedBy~Not shown in title block|ReportField=CompanyName~Not shown in title block|ReportField=ConfigurationParameters~|ReportField=ConfiguratorName~|ReportField=CurrentDate~1/16/2017|ReportField=CurrentTime~5:34:51 PM|ReportField=Date~Not shown in title block|ReportField=DocumentFullPathAndName~C:\Users\a0271704\Desktop\MCU009A (1-16-2017 2-56-52 PM)\MCU009A_ADC.SchDoc|ReportField=DocumentName~MCU009A_ADC.SchDoc|ReportField=DocumentNumber~4|ReportField=DrawnBy~|ReportField=Engineer~Not shown in title block|ReportField=ImagePath~Not shown in title block|ReportField=IsUserConfigurable~|ReportField=ModifiedDate~10/16/2016|ReportField=Organization~Not shown in title block|ReportField=PageSetup~Record=PageOptions:CenterHorizontal=True:CenterVertical=True:PrintScale=1.00:XCorrection=1.00:YCorrection=1.00:PrintKind=0:BorderSize=5000000:LeftOffset=0:BottomOffset=0:Orientation=2:PaperLength=1000:PaperWidth=1000:Scale=100:PaperSource=15:PrintQuality=600:MediaType=1:DitherType=10:PaperKind=Letter:PrintScaleMode=1|ReportField=ProjectName~MCU009A.PrjPcb|ReportField=Revision~Use project parameter SCH_Rev|ReportField=Rule~|ReportField=SheetNumber~4|ReportField=SheetTotal~7|ReportField=Time~Not shown in title block|ReportField=Title~ADC|ReportField=VersionControl_RevNumber~|ReportField=DataSourceFileName~MCU009A.PrjPcb|ReportField=DataSourceFullPath~C:\Users\a0271704\Desktop\MCU009A (1-16-2017 2-56-52 PM)\MCU009A.PrjPcb|ReportField=PCBDataSourceFileName~MCU009A_PCB.PcbDoc|ReportField=PCBDataSourceFullPath~C:\Users\a0271704\Desktop\MCU009A (1-16-2017 2-56-52 PM)\MCU009A_PCB.PcbDoc
30|C15|SMT|0402|1540.895|39.1387|649.995|16.5099|Bottom|1564.517|39.7387|649.995|16.5099|1540.895|39.1387|649.995|16.5099|180
31|C15:A|SMT|0603|85.195|2.164|1614.842|41.017|Bottom|116.692|2.964|1614.842|41.017|85.195|2.164|1614.842|41.017|180
32|C16|SMT|0402|1650|41.91|1120|28.448|Bottom|1650|41.91|1096.378|27.848|1650|41.91|1120|28.448|90
33|C16:A|SMT|0402|105.195|2.672|1549.842|39.366|Bottom|81.573|2.072|1549.842|39.366|105.195|2.672|1549.842|39.366|0
34|C17|SMT|0402|1385|35.179|1230|31.242|Bottom|1361.378|34.579|1230|31.242|1385|35.179|1230|31.242|0
35|C17:A|SMT|0402|-204.804|-5.202|1344.842|34.159|Top|-204.804|-5.202|1321.22|33.559|-204.804|-5.202|1344.842|34.159|90
36|C18|SMT|0402|1520|38.608|1280|32.512|Bottom|1543.622|39.208|1280|32.512|1520|38.608|1280|32.512|180
37|C18:A|SMT|0402|-50|-1.27|1545|39.243|Bottom|-50|-1.27|1568.622|39.843|-50|-1.27|1545|39.243|270
38|C19|SMT|0603|1540|39.116|1540|39.116|Bottom|1508.504|38.316|1540|39.116|1540|39.116|1540|39.116|0
39|C19:A|SMT|0402|621.882|15.7958|1873.361|47.5834|Bottom|621.882|15.7958|1849.739|46.9834|621.882|15.7958|1873.361|47.5834|90
40|C20|SMT|0603|1541.496|39.154|1375|34.925|Bottom|1510|38.354|1375|34.925|1541.496|39.154|1375|34.925|0
41|C20:A|SMT|0402|980|24.892|1875|47.625|Bottom|980|24.892|1898.622|48.225|980|24.892|1875|47.625|270
42|C21|SMT|0603|1540|39.116|1445|36.703|Bottom|1508.504|38.316|1445|36.703|1540|39.116|1445|36.703|0
43|C21:A|SMT|0402|655.991|16.6622|1612.638|40.961|Bottom|655.991|16.6622|1589.016|40.361|655.991|16.6622|1612.638|40.961|90
44|C22|SMT|0402|1995|50.673|1045|26.543|Bottom|1995|50.673|1021.378|25.943|1995|50.673|1045|26.543|90
45|C22:A|SMT|0402|895|22.733|1608.622|40.859|Bottom|895|22.733|1632.244|41.459|895|22.733|1608.622|40.859|270
46|C23|SMT|0402|1845|46.863|1360|34.544|Bottom|1821.378|46.263|1360|34.544|1845|46.863|1360|34.544|0
47|C23:A|SMT|0402|646.991|16.4336|1239.638|31.4868|Bottom|646.991|16.4336|1263.26|32.0868|646.991|16.4336|1239.638|31.4868|270
48|C24|SMT|0603|2225|56.515|860.001|21.844|Bottom|2225|56.515|828.505|21.044|2225|56.515|860|21.844|90
49|C24:A|SMT|0402|896.22|22.764|1245.866|31.645|Bottom|896.22|22.764|1222.244|31.045|896.219|22.764|1245.866|31.645|90
50|C25|SMT|0402|2080|52.832|825|20.955|Bottom|2056.378|52.232|825|20.955|2080|52.832|825|20.955|0
51|C25:A|SMT|0402|1670|42.418|1841|46.7614|Bottom|1670|42.418|1817.378|46.1614|1670|42.418|1841|46.7614|90
52|C26|SMT|0402|2135|54.229|1030|26.162|Top|2135|54.229|1053.622|26.762|2135|54.229|1030|26.162|270
53|C26:A|SMT|1812|776.22|19.716|1860.866|47.266|Bottom|854.96|21.716|1860.866|47.266|776.219|19.716|1860.866|47.266|180
54|C27|SMT|0603|2065|52.451|1050|26.67|Top|2065|52.451|1081.496|27.47|2065|52.451|1050|26.67|270
55|C28|SMT|0402|1618.1|41.0997|1492.4|37.907|Top|1641.722|41.6997|1492.4|37.907|1618.1|41.0997|1492.4|37.907|180
56|C29|SMT|0402|2184.999|55.499|1375|34.925|Bottom|2208.621|56.099|1375|34.925|2185|55.499|1375|34.925|180
57|C30|SMT|0402|2185|55.499|1180|29.972|Top|2161.378|54.899|1180|29.972|2185|55.499|1180|29.972|0
