Drill Listing
=============
Drill: .008  Tool: 1  Feed: 0  Speed: 0
X 1085800  Y 1025800
X 1083400  Y 1025800
X 1099610  Y 1029856
X 1123131  Y 1026474
X 1106610  Y 1024856
X 1128631  Y 1019974
X 1105600  Y 1017400
X 1107631  Y 1012974
X 1118100  Y 1005400
X 1125110  Y 1004856
X 1106110  Y 1003356
X 1109110  Y 1002856
X 1112110  Y 1001356
X 1114610  Y 999356
X 1121110  Y 998856
X 1121800  Y 995800
X 1125100  Y 995100
X 1125610  Y 981356
X 1108731  Y 976853
X 1108731  Y 973253
X 1112610  Y 971856
X 1125610  Y 971856
X 1108731  Y 967253
X 1124110  Y 965356
X 1118331  Y 960400
X 1117000  Y 957400
X 1108610  Y 955856
X 1118800  Y 955000
X 1114600  Y 952600
X 1111600  Y 950800
X 1109110  Y 947356
X 1120000  Y 947200
X 1109110  Y 943856
X 1109800  Y 935800
X 1109610  Y 931856
X 1113110  Y 929856
X 1111110  Y 927856
X 1109110  Y 925856
X 1113110  Y 924356
X 1117610  Y 924356
X 1124610  Y 924356
X 1111110  Y 922356
X 1109110  Y 920356
X 1113110  Y 918356
X 1111110  Y 916356
X 1121800  Y 914800
X 1109610  Y 914356
X 1109610  Y 911356
X 1126110  Y 909856
X 1115610  Y 908856
X 1128400  Y 903400
X 1118531  Y 901774
X 1108000  Y 880000
X 1115838  Y 879839
X 1119776  Y 879839
X 1127652  Y 879839
X 1123714  Y 879839
X 1111972  Y 879839
X 1121745  Y 877870
X 1113872  Y 877870
X 1117807  Y 877870
X 1125683  Y 877870
X 1109800  Y 877600
X 1114631  Y 869974
X 1111000  Y 869800
X 1119400  Y 869800
X 1111000  Y 867400
X 1108000  Y 865000
X 1119400  Y 864400
X 1111000  Y 859600
X 1108000  Y 851800
X 1109200  Y 849400
X 1111600  Y 844600
X 1108600  Y 844600
X 1110000  Y 839200
X 1123600  Y 834400
X 1111000  Y 832600
X 1106200  Y 829000
X 1106200  Y 826600
X 1127200  Y 825400
X 1116400  Y 824200
X 1111000  Y 823000
X 1117600  Y 815800
X 1121800  Y 815800
X 1127800  Y 815800
X 1113872  Y 815556
X 1115672  Y 813756
X 1111972  Y 813656
X 1106600  Y 812200
X 1107872  Y 809600
X 1113000  Y 804200
X 1125700  Y 803453
X 1117322  Y 803406
X 1121500  Y 803200
X 1120000  Y 800800
X 1145800  Y 803200
X 1133331  Y 803453
X 1129731  Y 803453
X 1153600  Y 803800
X 1141000  Y 805000
X 1153600  Y 806200
X 1147600  Y 806200
X 1143400  Y 806800
X 1148800  Y 808600
X 1153000  Y 808600
X 1139200  Y 809200
X 1150600  Y 810400
X 1145200  Y 811000
X 1130200  Y 811600
X 1136800  Y 814000
X 1130200  Y 814600
X 1141600  Y 814600
X 1153000  Y 815200
X 1134400  Y 815800
X 1138600  Y 817000
X 1133800  Y 819400
X 1132600  Y 823600
X 1149400  Y 830800
X 1145800  Y 830800
X 1145800  Y 835600
X 1149400  Y 835600
X 1131400  Y 839200
X 1130200  Y 859600
X 1145500  Y 861600
X 1149400  Y 862000
X 1145500  Y 865100
X 1149400  Y 865600
X 1130500  Y 867400
X 1138631  Y 869974
X 1146731  Y 875374
X 1136800  Y 876400
X 1144931  Y 877174
X 1129621  Y 877870
X 1133800  Y 878200
X 1143131  Y 878974
X 1131590  Y 879839
X 1138600  Y 880000
X 1147600  Y 880600
X 1141331  Y 880774
X 1152110  Y 896856
X 1139610  Y 896856
X 1147110  Y 896856
X 1134610  Y 896856
X 1139610  Y 906356
X 1147110  Y 906356
X 1152110  Y 906356
X 1134610  Y 906356
X 1142200  Y 908800
X 1152253  Y 925866
X 1147253  Y 925866
X 1142253  Y 925866
X 1137253  Y 925866
X 1137253  Y 930866
X 1142253  Y 930866
X 1147253  Y 930866
X 1152253  Y 930866
X 1152253  Y 935866
X 1137253  Y 935866
X 1142253  Y 935866
